Numero	Code	Browser	Appl	Goog	Twtr.	One	FB	FBM	Sams.	Wind.	GMail	SB	DCM	KDDI	CLDR Short Name
191	U+1F469 U+1F3FF U+200D U+1F393	👩🏿‍🎓	👩🏿‍🎓	👩🏿‍🎓	👩🏿‍🎓	👩🏿‍🎓	👩🏿‍🎓	—	👩🏿‍🎓	👩🏿‍🎓	—	—	—	—	woman student: dark skin tone
192	U+1F468 U+200D U+1F3EB	👨‍🏫	👨‍🏫	👨‍🏫	👨‍🏫	👨‍🏫	👨‍🏫	—	👨‍🏫	👨‍🏫	—	—	—	—	man teacher
193	U+1F468 U+1F3FB U+200D U+1F3EB	👨🏻‍🏫	👨🏻‍🏫	👨🏻‍🏫	👨🏻‍🏫	👨🏻‍🏫	👨🏻‍🏫	—	👨🏻‍🏫	👨🏻‍🏫	—	—	—	—	man teacher: light skin tone
194	U+1F468 U+1F3FC U+200D U+1F3EB	👨🏼‍🏫	👨🏼‍🏫	👨🏼‍🏫	👨🏼‍🏫	👨🏼‍🏫	👨🏼‍🏫	—	👨🏼‍🏫	👨🏼‍🏫	—	—	—	—	man teacher: medium-light skin tone
195	U+1F468 U+1F3FD U+200D U+1F3EB	👨🏽‍🏫	👨🏽‍🏫	👨🏽‍🏫	👨🏽‍🏫	👨🏽‍🏫	👨🏽‍🏫	—	👨🏽‍🏫	👨🏽‍🏫	—	—	—	—	man teacher: medium skin tone
196	U+1F468 U+1F3FE U+200D U+1F3EB	👨🏾‍🏫	👨🏾‍🏫	👨🏾‍🏫	👨🏾‍🏫	👨🏾‍🏫	👨🏾‍🏫	—	👨🏾‍🏫	👨🏾‍🏫	—	—	—	—	man teacher: medium-dark skin tone
197	U+1F468 U+1F3FF U+200D U+1F3EB	👨🏿‍🏫	👨🏿‍🏫	👨🏿‍🏫	👨🏿‍🏫	👨🏿‍🏫	👨🏿‍🏫	—	👨🏿‍🏫	👨🏿‍🏫	—	—	—	—	man teacher: dark skin tone
198	U+1F469 U+200D U+1F3EB	👩‍🏫	👩‍🏫	👩‍🏫	👩‍🏫	👩‍🏫	👩‍🏫	—	👩‍🏫	👩‍🏫	—	—	—	—	woman teacher
199	U+1F469 U+1F3FB U+200D U+1F3EB	👩🏻‍🏫	👩🏻‍🏫	👩🏻‍🏫	👩🏻‍🏫	👩🏻‍🏫	👩🏻‍🏫	—	👩🏻‍🏫	👩🏻‍🏫	—	—	—	—	woman teacher: light skin tone
200	U+1F469 U+1F3FC U+200D U+1F3EB	👩🏼‍🏫	👩🏼‍🏫	👩🏼‍🏫	👩🏼‍🏫	👩🏼‍🏫	👩🏼‍🏫	—	👩🏼‍🏫	👩🏼‍🏫	—	—	—	—	woman teacher: medium-light skin tone
201	U+1F469 U+1F3FD U+200D U+1F3EB	👩🏽‍🏫	👩🏽‍🏫	👩🏽‍🏫	👩🏽‍🏫	👩🏽‍🏫	👩🏽‍🏫	—	👩🏽‍🏫	👩🏽‍🏫	—	—	—	—	woman teacher: medium skin tone
202	U+1F469 U+1F3FE U+200D U+1F3EB	👩🏾‍🏫	👩🏾‍🏫	👩🏾‍🏫	👩🏾‍🏫	👩🏾‍🏫	👩🏾‍🏫	—	👩🏾‍🏫	👩🏾‍🏫	—	—	—	—	woman teacher: medium-dark skin tone
203	U+1F469 U+1F3FF U+200D U+1F3EB	👩🏿‍🏫	👩🏿‍🏫	👩🏿‍🏫	👩🏿‍🏫	👩🏿‍🏫	👩🏿‍🏫	—	👩🏿‍🏫	👩🏿‍🏫	—	—	—	—	woman teacher: dark skin tone
204	U+1F468 U+200D U+2696 U+FE0F	👨‍⚖️	👨‍⚖️	👨‍⚖️	👨‍⚖️	👨‍⚖️	👨‍⚖️	—	👨‍⚖️	👨‍⚖️	—	—	—	—	man judge
205	U+1F468 U+1F3FB U+200D U+2696 U+FE0F	👨🏻‍⚖️	👨🏻‍⚖️	👨🏻‍⚖️	👨🏻‍⚖️	👨🏻‍⚖️	👨🏻‍⚖️	—	👨🏻‍⚖️	👨🏻‍⚖️	—	—	—	—	man judge: light skin tone
206	U+1F468 U+1F3FC U+200D U+2696 U+FE0F	👨🏼‍⚖️	👨🏼‍⚖️	👨🏼‍⚖️	👨🏼‍⚖️	👨🏼‍⚖️	👨🏼‍⚖️	—	👨🏼‍⚖️	👨🏼‍⚖️	—	—	—	—	man judge: medium-light skin tone
207	U+1F468 U+1F3FD U+200D U+2696 U+FE0F	👨🏽‍⚖️	👨🏽‍⚖️	👨🏽‍⚖️	👨🏽‍⚖️	👨🏽‍⚖️	👨🏽‍⚖️	—	👨🏽‍⚖️	👨🏽‍⚖️	—	—	—	—	man judge: medium skin tone
208	U+1F468 U+1F3FE U+200D U+2696 U+FE0F	👨🏾‍⚖️	👨🏾‍⚖️	👨🏾‍⚖️	👨🏾‍⚖️	👨🏾‍⚖️	👨🏾‍⚖️	—	👨🏾‍⚖️	👨🏾‍⚖️	—	—	—	—	man judge: medium-dark skin tone
209	U+1F468 U+1F3FF U+200D U+2696 U+FE0F	👨🏿‍⚖️	👨🏿‍⚖️	👨🏿‍⚖️	👨🏿‍⚖️	👨🏿‍⚖️	👨🏿‍⚖️	—	👨🏿‍⚖️	👨🏿‍⚖️	—	—	—	—	man judge: dark skin tone
210	U+1F469 U+200D U+2696 U+FE0F	👩‍⚖️	👩‍⚖️	👩‍⚖️	👩‍⚖️	👩‍⚖️	👩‍⚖️	—	👩‍⚖️	👩‍⚖️	—	—	—	—	woman judge
211	U+1F469 U+1F3FB U+200D U+2696 U+FE0F	👩🏻‍⚖️	👩🏻‍⚖️	👩🏻‍⚖️	👩🏻‍⚖️	👩🏻‍⚖️	👩🏻‍⚖️	—	👩🏻‍⚖️	👩🏻‍⚖️	—	—	—	—	woman judge: light skin tone
212	U+1F469 U+1F3FC U+200D U+2696 U+FE0F	👩🏼‍⚖️	👩🏼‍⚖️	👩🏼‍⚖️	👩🏼‍⚖️	👩🏼‍⚖️	👩🏼‍⚖️	—	👩🏼‍⚖️	👩🏼‍⚖️	—	—	—	—	woman judge: medium-light skin tone
213	U+1F469 U+1F3FD U+200D U+2696 U+FE0F	👩🏽‍⚖️	👩🏽‍⚖️	👩🏽‍⚖️	👩🏽‍⚖️	👩🏽‍⚖️	👩🏽‍⚖️	—	👩🏽‍⚖️	👩🏽‍⚖️	—	—	—	—	woman judge: medium skin tone
214	U+1F469 U+1F3FE U+200D U+2696 U+FE0F	👩🏾‍⚖️	👩🏾‍⚖️	👩🏾‍⚖️	👩🏾‍⚖️	👩🏾‍⚖️	👩🏾‍⚖️	—	👩🏾‍⚖️	👩🏾‍⚖️	—	—	—	—	woman judge: medium-dark skin tone
215	U+1F469 U+1F3FF U+200D U+2696 U+FE0F	👩🏿‍⚖️	👩🏿‍⚖️	👩🏿‍⚖️	👩🏿‍⚖️	👩🏿‍⚖️	👩🏿‍⚖️	—	👩🏿‍⚖️	👩🏿‍⚖️	—	—	—	—	woman judge: dark skin tone
216	U+1F468 U+200D U+1F33E	👨‍🌾	👨‍🌾	👨‍🌾	👨‍🌾	👨‍🌾	👨‍🌾	—	👨‍🌾	👨‍🌾	—	—	—	—	man farmer
217	U+1F468 U+1F3FB U+200D U+1F33E	👨🏻‍🌾	👨🏻‍🌾	👨🏻‍🌾	👨🏻‍🌾	👨🏻‍🌾	👨🏻‍🌾	—	👨🏻‍🌾	👨🏻‍🌾	—	—	—	—	man farmer: light skin tone
218	U+1F468 U+1F3FC U+200D U+1F33E	👨🏼‍🌾	👨🏼‍🌾	👨🏼‍🌾	👨🏼‍🌾	👨🏼‍🌾	👨🏼‍🌾	—	👨🏼‍🌾	👨🏼‍🌾	—	—	—	—	man farmer: medium-light skin tone
219	U+1F468 U+1F3FD U+200D U+1F33E	👨🏽‍🌾	👨🏽‍🌾	👨🏽‍🌾	👨🏽‍🌾	👨🏽‍🌾	👨🏽‍🌾	—	👨🏽‍🌾	👨🏽‍🌾	—	—	—	—	man farmer: medium skin tone
220	U+1F468 U+1F3FE U+200D U+1F33E	👨🏾‍🌾	👨🏾‍🌾	👨🏾‍🌾	👨🏾‍🌾	👨🏾‍🌾	👨🏾‍🌾	—	👨🏾‍🌾	👨🏾‍🌾	—	—	—	—	man farmer: medium-dark skin tone
221	U+1F468 U+1F3FF U+200D U+1F33E	👨🏿‍🌾	👨🏿‍🌾	👨🏿‍🌾	👨🏿‍🌾	👨🏿‍🌾	👨🏿‍🌾	—	👨🏿‍🌾	👨🏿‍🌾	—	—	—	—	man farmer: dark skin tone
222	U+1F469 U+200D U+1F33E	👩‍🌾	👩‍🌾	👩‍🌾	👩‍🌾	👩‍🌾	👩‍🌾	—	👩‍🌾	👩‍🌾	—	—	—	—	woman farmer
223	U+1F469 U+1F3FB U+200D U+1F33E	👩🏻‍🌾	👩🏻‍🌾	👩🏻‍🌾	👩🏻‍🌾	👩🏻‍🌾	👩🏻‍🌾	—	👩🏻‍🌾	👩🏻‍🌾	—	—	—	—	woman farmer: light skin tone
224	U+1F469 U+1F3FC U+200D U+1F33E	👩🏼‍🌾	👩🏼‍🌾	👩🏼‍🌾	👩🏼‍🌾	👩🏼‍🌾	👩🏼‍🌾	—	👩🏼‍🌾	👩🏼‍🌾	—	—	—	—	woman farmer: medium-light skin tone
225	U+1F469 U+1F3FD U+200D U+1F33E	👩🏽‍🌾	👩🏽‍🌾	👩🏽‍🌾	👩🏽‍🌾	👩🏽‍🌾	👩🏽‍🌾	—	👩🏽‍🌾	👩🏽‍🌾	—	—	—	—	woman farmer: medium skin tone
226	U+1F469 U+1F3FE U+200D U+1F33E	👩🏾‍🌾	👩🏾‍🌾	👩🏾‍🌾	👩🏾‍🌾	👩🏾‍🌾	👩🏾‍🌾	—	👩🏾‍🌾	👩🏾‍🌾	—	—	—	—	woman farmer: medium-dark skin tone
227	U+1F469 U+1F3FF U+200D U+1F33E	👩🏿‍🌾	👩🏿‍🌾	👩🏿‍🌾	👩🏿‍🌾	👩🏿‍🌾	👩🏿‍🌾	—	👩🏿‍🌾	👩🏿‍🌾	—	—	—	—	woman farmer: dark skin tone
228	U+1F468 U+200D U+1F373	👨‍🍳	👨‍🍳	👨‍🍳	👨‍🍳	👨‍🍳	👨‍🍳	—	👨‍🍳	👨‍🍳	—	—	—	—	man cook
229	U+1F468 U+1F3FB U+200D U+1F373	👨🏻‍🍳	👨🏻‍🍳	👨🏻‍🍳	👨🏻‍🍳	👨🏻‍🍳	👨🏻‍🍳	—	👨🏻‍🍳	👨🏻‍🍳	—	—	—	—	man cook: light skin tone
230	U+1F468 U+1F3FC U+200D U+1F373	👨🏼‍🍳	👨🏼‍🍳	👨🏼‍🍳	👨🏼‍🍳	👨🏼‍🍳	👨🏼‍🍳	—	👨🏼‍🍳	👨🏼‍🍳	—	—	—	—	man cook: medium-light skin tone
231	U+1F468 U+1F3FD U+200D U+1F373	👨🏽‍🍳	👨🏽‍🍳	👨🏽‍🍳	👨🏽‍🍳	👨🏽‍🍳	👨🏽‍🍳	—	👨🏽‍🍳	👨🏽‍🍳	—	—	—	—	man cook: medium skin tone
232	U+1F468 U+1F3FE U+200D U+1F373	👨🏾‍🍳	👨🏾‍🍳	👨🏾‍🍳	👨🏾‍🍳	👨🏾‍🍳	👨🏾‍🍳	—	👨🏾‍🍳	👨🏾‍🍳	—	—	—	—	man cook: medium-dark skin tone
233	U+1F468 U+1F3FF U+200D U+1F373	👨🏿‍🍳	👨🏿‍🍳	👨🏿‍🍳	👨🏿‍🍳	👨🏿‍🍳	👨🏿‍🍳	—	👨🏿‍🍳	👨🏿‍🍳	—	—	—	—	man cook: dark skin tone
234	U+1F469 U+200D U+1F373	👩‍🍳	👩‍🍳	👩‍🍳	👩‍🍳	👩‍🍳	👩‍🍳	—	👩‍🍳	👩‍🍳	—	—	—	—	woman cook
235	U+1F469 U+1F3FB U+200D U+1F373	👩🏻‍🍳	👩🏻‍🍳	👩🏻‍🍳	👩🏻‍🍳	👩🏻‍🍳	👩🏻‍🍳	—	👩🏻‍🍳	👩🏻‍🍳	—	—	—	—	woman cook: light skin tone
236	U+1F469 U+1F3FC U+200D U+1F373	👩🏼‍🍳	👩🏼‍🍳	👩🏼‍🍳	👩🏼‍🍳	👩🏼‍🍳	👩🏼‍🍳	—	👩🏼‍🍳	👩🏼‍🍳	—	—	—	—	woman cook: medium-light skin tone
237	U+1F469 U+1F3FD U+200D U+1F373	👩🏽‍🍳	👩🏽‍🍳	👩🏽‍🍳	👩🏽‍🍳	👩🏽‍🍳	👩🏽‍🍳	—	👩🏽‍🍳	👩🏽‍🍳	—	—	—	—	woman cook: medium skin tone
238	U+1F469 U+1F3FE U+200D U+1F373	👩🏾‍🍳	👩🏾‍🍳	👩🏾‍🍳	👩🏾‍🍳	👩🏾‍🍳	👩🏾‍🍳	—	👩🏾‍🍳	👩🏾‍🍳	—	—	—	—	woman cook: medium-dark skin tone
239	U+1F469 U+1F3FF U+200D U+1F373	👩🏿‍🍳	👩🏿‍🍳	👩🏿‍🍳	👩🏿‍🍳	👩🏿‍🍳	👩🏿‍🍳	—	👩🏿‍🍳	👩🏿‍🍳	—	—	—	—	woman cook: dark skin tone
240	U+1F468 U+200D U+1F527	👨‍🔧	👨‍🔧	👨‍🔧	👨‍🔧	👨‍🔧	👨‍🔧	—	👨‍🔧	👨‍🔧	—	—	—	—	man mechanic
241	U+1F468 U+1F3FB U+200D U+1F527	👨🏻‍🔧	👨🏻‍🔧	👨🏻‍🔧	👨🏻‍🔧	👨🏻‍🔧	👨🏻‍🔧	—	👨🏻‍🔧	👨🏻‍🔧	—	—	—	—	man mechanic: light skin tone
242	U+1F468 U+1F3FC U+200D U+1F527	👨🏼‍🔧	👨🏼‍🔧	👨🏼‍🔧	👨🏼‍🔧	👨🏼‍🔧	👨🏼‍🔧	—	👨🏼‍🔧	👨🏼‍🔧	—	—	—	—	man mechanic: medium-light skin tone
243	U+1F468 U+1F3FD U+200D U+1F527	👨🏽‍🔧	👨🏽‍🔧	👨🏽‍🔧	👨🏽‍🔧	👨🏽‍🔧	👨🏽‍🔧	—	👨🏽‍🔧	👨🏽‍🔧	—	—	—	—	man mechanic: medium skin tone
244	U+1F468 U+1F3FE U+200D U+1F527	👨🏾‍🔧	👨🏾‍🔧	👨🏾‍🔧	👨🏾‍🔧	👨🏾‍🔧	👨🏾‍🔧	—	👨🏾‍🔧	👨🏾‍🔧	—	—	—	—	man mechanic: medium-dark skin tone
245	U+1F468 U+1F3FF U+200D U+1F527	👨🏿‍🔧	👨🏿‍🔧	👨🏿‍🔧	👨🏿‍🔧	👨🏿‍🔧	👨🏿‍🔧	—	👨🏿‍🔧	👨🏿‍🔧	—	—	—	—	man mechanic: dark skin tone
246	U+1F469 U+200D U+1F527	👩‍🔧	👩‍🔧	👩‍🔧	👩‍🔧	👩‍🔧	👩‍🔧	—	👩‍🔧	👩‍🔧	—	—	—	—	woman mechanic
247	U+1F469 U+1F3FB U+200D U+1F527	👩🏻‍🔧	👩🏻‍🔧	👩🏻‍🔧	👩🏻‍🔧	👩🏻‍🔧	👩🏻‍🔧	—	👩🏻‍🔧	👩🏻‍🔧	—	—	—	—	woman mechanic: light skin tone
248	U+1F469 U+1F3FC U+200D U+1F527	👩🏼‍🔧	👩🏼‍🔧	👩🏼‍🔧	👩🏼‍🔧	👩🏼‍🔧	👩🏼‍🔧	—	👩🏼‍🔧	👩🏼‍🔧	—	—	—	—	woman mechanic: medium-light skin tone
249	U+1F469 U+1F3FD U+200D U+1F527	👩🏽‍🔧	👩🏽‍🔧	👩🏽‍🔧	👩🏽‍🔧	👩🏽‍🔧	👩🏽‍🔧	—	👩🏽‍🔧	👩🏽‍🔧	—	—	—	—	woman mechanic: medium skin tone
250	U+1F469 U+1F3FE U+200D U+1F527	👩🏾‍🔧	👩🏾‍🔧	👩🏾‍🔧	👩🏾‍🔧	👩🏾‍🔧	👩🏾‍🔧	—	👩🏾‍🔧	👩🏾‍🔧	—	—	—	—	woman mechanic: medium-dark skin tone
251	U+1F469 U+1F3FF U+200D U+1F527	👩🏿‍🔧	👩🏿‍🔧	👩🏿‍🔧	👩🏿‍🔧	👩🏿‍🔧	👩🏿‍🔧	—	👩🏿‍🔧	👩🏿‍🔧	—	—	—	—	woman mechanic: dark skin tone
252	U+1F468 U+200D U+1F3ED	👨‍🏭	👨‍🏭	👨‍🏭	👨‍🏭	👨‍🏭	👨‍🏭	—	👨‍🏭	👨‍🏭	—	—	—	—	man factory worker
253	U+1F468 U+1F3FB U+200D U+1F3ED	👨🏻‍🏭	👨🏻‍🏭	👨🏻‍🏭	👨🏻‍🏭	👨🏻‍🏭	👨🏻‍🏭	—	👨🏻‍🏭	👨🏻‍🏭	—	—	—	—	man factory worker: light skin tone
254	U+1F468 U+1F3FC U+200D U+1F3ED	👨🏼‍🏭	👨🏼‍🏭	👨🏼‍🏭	👨🏼‍🏭	👨🏼‍🏭	👨🏼‍🏭	—	👨🏼‍🏭	👨🏼‍🏭	—	—	—	—	man factory worker: medium-light skin tone
255	U+1F468 U+1F3FD U+200D U+1F3ED	👨🏽‍🏭	👨🏽‍🏭	👨🏽‍🏭	👨🏽‍🏭	👨🏽‍🏭	👨🏽‍🏭	—	👨🏽‍🏭	👨🏽‍🏭	—	—	—	—	man factory worker: medium skin tone
256	U+1F468 U+1F3FE U+200D U+1F3ED	👨🏾‍🏭	👨🏾‍🏭	👨🏾‍🏭	👨🏾‍🏭	👨🏾‍🏭	👨🏾‍🏭	—	👨🏾‍🏭	👨🏾‍🏭	—	—	—	—	man factory worker: medium-dark skin tone
257	U+1F468 U+1F3FF U+200D U+1F3ED	👨🏿‍🏭	👨🏿‍🏭	👨🏿‍🏭	👨🏿‍🏭	👨🏿‍🏭	👨🏿‍🏭	—	👨🏿‍🏭	👨🏿‍🏭	—	—	—	—	man factory worker: dark skin tone
258	U+1F469 U+200D U+1F3ED	👩‍🏭	👩‍🏭	👩‍🏭	👩‍🏭	👩‍🏭	👩‍🏭	—	👩‍🏭	👩‍🏭	—	—	—	—	woman factory worker
259	U+1F469 U+1F3FB U+200D U+1F3ED	👩🏻‍🏭	👩🏻‍🏭	👩🏻‍🏭	👩🏻‍🏭	👩🏻‍🏭	👩🏻‍🏭	—	👩🏻‍🏭	👩🏻‍🏭	—	—	—	—	woman factory worker: light skin tone
260	U+1F469 U+1F3FC U+200D U+1F3ED	👩🏼‍🏭	👩🏼‍🏭	👩🏼‍🏭	👩🏼‍🏭	👩🏼‍🏭	👩🏼‍🏭	—	👩🏼‍🏭	👩🏼‍🏭	—	—	—	—	woman factory worker: medium-light skin tone
261	U+1F469 U+1F3FD U+200D U+1F3ED	👩🏽‍🏭	👩🏽‍🏭	👩🏽‍🏭	👩🏽‍🏭	👩🏽‍🏭	👩🏽‍🏭	—	👩🏽‍🏭	👩🏽‍🏭	—	—	—	—	woman factory worker: medium skin tone
262	U+1F469 U+1F3FE U+200D U+1F3ED	👩🏾‍🏭	👩🏾‍🏭	👩🏾‍🏭	👩🏾‍🏭	👩🏾‍🏭	👩🏾‍🏭	—	👩🏾‍🏭	👩🏾‍🏭	—	—	—	—	woman factory worker: medium-dark skin tone
263	U+1F469 U+1F3FF U+200D U+1F3ED	👩🏿‍🏭	👩🏿‍🏭	👩🏿‍🏭	👩🏿‍🏭	👩🏿‍🏭	👩🏿‍🏭	—	👩🏿‍🏭	👩🏿‍🏭	—	—	—	—	woman factory worker: dark skin tone
264	U+1F468 U+200D U+1F4BC	👨‍💼	👨‍💼	👨‍💼	👨‍💼	👨‍💼	👨‍💼	—	👨‍💼	👨‍💼	—	—	—	—	man office worker
265	U+1F468 U+1F3FB U+200D U+1F4BC	👨🏻‍💼	👨🏻‍💼	👨🏻‍💼	👨🏻‍💼	👨🏻‍💼	👨🏻‍💼	—	👨🏻‍💼	👨🏻‍💼	—	—	—	—	man office worker: light skin tone
266	U+1F468 U+1F3FC U+200D U+1F4BC	👨🏼‍💼	👨🏼‍💼	👨🏼‍💼	👨🏼‍💼	👨🏼‍💼	👨🏼‍💼	—	👨🏼‍💼	👨🏼‍💼	—	—	—	—	man office worker: medium-light skin tone
267	U+1F468 U+1F3FD U+200D U+1F4BC	👨🏽‍💼	👨🏽‍💼	👨🏽‍💼	👨🏽‍💼	👨🏽‍💼	👨🏽‍💼	—	👨🏽‍💼	👨🏽‍💼	—	—	—	—	man office worker: medium skin tone
268	U+1F468 U+1F3FE U+200D U+1F4BC	👨🏾‍💼	👨🏾‍💼	👨🏾‍💼	👨🏾‍💼	👨🏾‍💼	👨🏾‍💼	—	👨🏾‍💼	👨🏾‍💼	—	—	—	—	man office worker: medium-dark skin tone
269	U+1F468 U+1F3FF U+200D U+1F4BC	👨🏿‍💼	👨🏿‍💼	👨🏿‍💼	👨🏿‍💼	👨🏿‍💼	👨🏿‍💼	—	👨🏿‍💼	👨🏿‍💼	—	—	—	—	man office worker: dark skin tone
270	U+1F469 U+200D U+1F4BC	👩‍💼	👩‍💼	👩‍💼	👩‍💼	👩‍💼	👩‍💼	—	👩‍💼	👩‍💼	—	—	—	—	woman office worker
271	U+1F469 U+1F3FB U+200D U+1F4BC	👩🏻‍💼	👩🏻‍💼	👩🏻‍💼	👩🏻‍💼	👩🏻‍💼	👩🏻‍💼	—	👩🏻‍💼	👩🏻‍💼	—	—	—	—	woman office worker: light skin tone
272	U+1F469 U+1F3FC U+200D U+1F4BC	👩🏼‍💼	👩🏼‍💼	👩🏼‍💼	👩🏼‍💼	👩🏼‍💼	👩🏼‍💼	—	👩🏼‍💼	👩🏼‍💼	—	—	—	—	woman office worker: medium-light skin tone
273	U+1F469 U+1F3FD U+200D U+1F4BC	👩🏽‍💼	👩🏽‍💼	👩🏽‍💼	👩🏽‍💼	👩🏽‍💼	👩🏽‍💼	—	👩🏽‍💼	👩🏽‍💼	—	—	—	—	woman office worker: medium skin tone
274	U+1F469 U+1F3FE U+200D U+1F4BC	👩🏾‍💼	👩🏾‍💼	👩🏾‍💼	👩🏾‍💼	👩🏾‍💼	👩🏾‍💼	—	👩🏾‍💼	👩🏾‍💼	—	—	—	—	woman office worker: medium-dark skin tone
275	U+1F469 U+1F3FF U+200D U+1F4BC	👩🏿‍💼	👩🏿‍💼	👩🏿‍💼	👩🏿‍💼	👩🏿‍💼	👩🏿‍💼	—	👩🏿‍💼	👩🏿‍💼	—	—	—	—	woman office worker: dark skin tone
276	U+1F468 U+200D U+1F52C	👨‍🔬	👨‍🔬	👨‍🔬	👨‍🔬	👨‍🔬	👨‍🔬	—	👨‍🔬	👨‍🔬	—	—	—	—	man scientist
277	U+1F468 U+1F3FB U+200D U+1F52C	👨🏻‍🔬	👨🏻‍🔬	👨🏻‍🔬	👨🏻‍🔬	👨🏻‍🔬	👨🏻‍🔬	—	👨🏻‍🔬	👨🏻‍🔬	—	—	—	—	man scientist: light skin tone
278	U+1F468 U+1F3FC U+200D U+1F52C	👨🏼‍🔬	👨🏼‍🔬	👨🏼‍🔬	👨🏼‍🔬	👨🏼‍🔬	👨🏼‍🔬	—	👨🏼‍🔬	👨🏼‍🔬	—	—	—	—	man scientist: medium-light skin tone
279	U+1F468 U+1F3FD U+200D U+1F52C	👨🏽‍🔬	👨🏽‍🔬	👨🏽‍🔬	👨🏽‍🔬	👨🏽‍🔬	👨🏽‍🔬	—	👨🏽‍🔬	👨🏽‍🔬	—	—	—	—	man scientist: medium skin tone
280	U+1F468 U+1F3FE U+200D U+1F52C	👨🏾‍🔬	👨🏾‍🔬	👨🏾‍🔬	👨🏾‍🔬	👨🏾‍🔬	👨🏾‍🔬	—	👨🏾‍🔬	👨🏾‍🔬	—	—	—	—	man scientist: medium-dark skin tone
281	U+1F468 U+1F3FF U+200D U+1F52C	👨🏿‍🔬	👨🏿‍🔬	👨🏿‍🔬	👨🏿‍🔬	👨🏿‍🔬	👨🏿‍🔬	—	👨🏿‍🔬	👨🏿‍🔬	—	—	—	—	man scientist: dark skin tone
282	U+1F469 U+200D U+1F52C	👩‍🔬	👩‍🔬	👩‍🔬	👩‍🔬	👩‍🔬	👩‍🔬	—	👩‍🔬	👩‍🔬	—	—	—	—	woman scientist
283	U+1F469 U+1F3FB U+200D U+1F52C	👩🏻‍🔬	👩🏻‍🔬	👩🏻‍🔬	👩🏻‍🔬	👩🏻‍🔬	👩🏻‍🔬	—	👩🏻‍🔬	👩🏻‍🔬	—	—	—	—	woman scientist: light skin tone
284	U+1F469 U+1F3FC U+200D U+1F52C	👩🏼‍🔬	👩🏼‍🔬	👩🏼‍🔬	👩🏼‍🔬	👩🏼‍🔬	👩🏼‍🔬	—	👩🏼‍🔬	👩🏼‍🔬	—	—	—	—	woman scientist: medium-light skin tone
285	U+1F469 U+1F3FD U+200D U+1F52C	👩🏽‍🔬	👩🏽‍🔬	👩🏽‍🔬	👩🏽‍🔬	👩🏽‍🔬	👩🏽‍🔬	—	👩🏽‍🔬	👩🏽‍🔬	—	—	—	—	woman scientist: medium skin tone
286	U+1F469 U+1F3FE U+200D U+1F52C	👩🏾‍🔬	👩🏾‍🔬	👩🏾‍🔬	👩🏾‍🔬	👩🏾‍🔬	👩🏾‍🔬	—	👩🏾‍🔬	👩🏾‍🔬	—	—	—	—	woman scientist: medium-dark skin tone
287	U+1F469 U+1F3FF U+200D U+1F52C	👩🏿‍🔬	👩🏿‍🔬	👩🏿‍🔬	👩🏿‍🔬	👩🏿‍🔬	👩🏿‍🔬	—	👩🏿‍🔬	👩🏿‍🔬	—	—	—	—	woman scientist: dark skin tone
288	U+1F468 U+200D U+1F4BB	👨‍💻	👨‍💻	👨‍💻	👨‍💻	👨‍💻	👨‍💻	—	👨‍💻	👨‍💻	—	—	—	—	man technologist
289	U+1F468 U+1F3FB U+200D U+1F4BB	👨🏻‍💻	👨🏻‍💻	👨🏻‍💻	👨🏻‍💻	👨🏻‍💻	👨🏻‍💻	—	👨🏻‍💻	👨🏻‍💻	—	—	—	—	man technologist: light skin tone
290	U+1F468 U+1F3FC U+200D U+1F4BB	👨🏼‍💻	👨🏼‍💻	👨🏼‍💻	👨🏼‍💻	👨🏼‍💻	👨🏼‍💻	—	👨🏼‍💻	👨🏼‍💻	—	—	—	—	man technologist: medium-light skin tone
291	U+1F468 U+1F3FD U+200D U+1F4BB	👨🏽‍💻	👨🏽‍💻	👨🏽‍💻	👨🏽‍💻	👨🏽‍💻	👨🏽‍💻	—	👨🏽‍💻	👨🏽‍💻	—	—	—	—	man technologist: medium skin tone
292	U+1F468 U+1F3FE U+200D U+1F4BB	👨🏾‍💻	👨🏾‍💻	👨🏾‍💻	👨🏾‍💻	👨🏾‍💻	👨🏾‍💻	—	👨🏾‍💻	👨🏾‍💻	—	—	—	—	man technologist: medium-dark skin tone
293	U+1F468 U+1F3FF U+200D U+1F4BB	👨🏿‍💻	👨🏿‍💻	👨🏿‍💻	👨🏿‍💻	👨🏿‍💻	👨🏿‍💻	—	👨🏿‍💻	👨🏿‍💻	—	—	—	—	man technologist: dark skin tone
294	U+1F469 U+200D U+1F4BB	👩‍💻	👩‍💻	👩‍💻	👩‍💻	👩‍💻	👩‍💻	—	👩‍💻	👩‍💻	—	—	—	—	woman technologist
295	U+1F469 U+1F3FB U+200D U+1F4BB	👩🏻‍💻	👩🏻‍💻	👩🏻‍💻	👩🏻‍💻	👩🏻‍💻	👩🏻‍💻	—	👩🏻‍💻	👩🏻‍💻	—	—	—	—	woman technologist: light skin tone
296	U+1F469 U+1F3FC U+200D U+1F4BB	👩🏼‍💻	👩🏼‍💻	👩🏼‍💻	👩🏼‍💻	👩🏼‍💻	👩🏼‍💻	—	👩🏼‍💻	👩🏼‍💻	—	—	—	—	woman technologist: medium-light skin tone
